Project Name,Package Name,Type Name,Method Name,Code Smell
java,me.jellysquid.mods.lithium.common.util,Pos,getMaxInSectionCoord,Magic Number
java,me.jellysquid.mods.lithium.common.util,Pos,fromBlockSize,Magic Number
java,me.jellysquid.mods.lithium.common.util,BlockCoord,getMaxInSectionCoord,Magic Number
java,me.jellysquid.mods.lithium.common.util,ChunkCoord,fromBlockSize,Magic Number
java,me.jellysquid.mods.lithium.common.util.change_tracking,ChangeSubscriber,without,Magic Number
java,me.jellysquid.mods.lithium.common.util.change_tracking,ChangeSubscriber,dataWithout,Long Parameter List
java,me.jellysquid.mods.lithium.common.util.change_tracking,ChangeSubscriber,dataWithout,Magic Number
java,me.jellysquid.mods.lithium.common.util.change_tracking,ChangeSubscriber,dataOf,Long Statement
java,me.jellysquid.mods.lithium.common.util.collections,HashedReferenceList,removeAll,Complex Conditional
java,me.jellysquid.mods.lithium.common.util.collections,HashedReferenceList,removeAll,Magic Number
java,me.jellysquid.mods.lithium.common.util.collections,HashedReferenceList,removeAll,Magic Number
java,me.jellysquid.mods.lithium.common.util.collections,MaskedList,add,Long Statement
java,me.jellysquid.mods.lithium.common.util.collections,MaskedList,remove,Magic Number
java,me.jellysquid.mods.lithium.common.util.collections,ReferenceMaskedList,add,Long Statement
java,me.jellysquid.mods.lithium.common.util.collections,ReferenceMaskedList,remove,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,sin,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,sin,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,cos,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,cos,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,cos,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.util.math,CompactSineLUT,lookup,Magic Number
java,me.jellysquid.mods.lithium.common.world.chunk,LithiumHashPalette,LithiumHashPalette,Long Parameter List
java,me.jellysquid.mods.lithium.common.world.chunk,LithiumHashPalette,copy,Long Statement
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Complex Method
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Method
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Parameter List
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Statement
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Statement
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Statement
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Long Statement
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Magic Number
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Magic Number
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Magic Number
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Magic Number
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,updateHeightmaps,Magic Number
java,me.jellysquid.mods.lithium.common.world,ChunkRandomSource,lithium$getRandomPosInChunk,Long Parameter List
java,me.jellysquid.mods.lithium.common.world,ClimbingMobCachingSection,lithium$collectPushableEntities,Long Parameter List
java,me.jellysquid.mods.lithium.common.world,LithiumData,Data,Long Parameter List
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesForCollision,Complex Conditional
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesForCollision,Long Identifier
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesForCollision,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesForCollision,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getOtherEntitiesForCollision,Long Identifier
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getOtherEntitiesForCollision,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getOtherEntitiesForCollision,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesOfClassGroup,Complex Conditional
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getEntitiesOfClassGroup,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getPushableEntities,Long Parameter List
java,me.jellysquid.mods.lithium.common.world,WorldHelper,getPushableEntities,Long Statement
java,me.jellysquid.mods.lithium.common.world,WorldHelper,areNeighborsWithinSameChunk,Magic Number
java,me.jellysquid.mods.lithium.common.world,WorldHelper,areNeighborsWithinSameChunk,Magic Number
java,me.jellysquid.mods.lithium.common.world,WorldHelper,areNeighborsWithinSameChunk,Magic Number
java,me.jellysquid.mods.lithium.common.world,WorldHelper,areNeighborsWithinSameChunk,Magic Number
