Project Name,Package Name,Type Name,Code Smell
java,me.jellysquid.mods.lithium.mixin.entity.collisions.fluid,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.fluid,EntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.entity.collisions.intersection,EntityViewMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.intersection,WorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,AbstractMinecartEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,BoatEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,EntityPredicatesMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,EntityTrackingSectionMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.collisions.unpushable_cramming,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,ArmorStandEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,ArmorStandEntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,LivingEntityMixin,Missing Hierarchy
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,MobEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking,MobEntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking.enchantment_ticking,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.equipment_tracking.equipment_changes,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.fast_elytra_check,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.fast_hand_swing,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.fast_hand_swing,LivingEntityMixin,Deficient Encapsulation
java,me.jellysquid.mods.lithium.mixin.entity.fast_powder_snow_check,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.fast_retrieval,SectionedEntityCacheMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,DrownedEntityLeaveWaterGoalMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,DrownedEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,EntityNavigationMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,MobEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,ServerEntityHandlerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.inactive_navigations,ServerWorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,AbstractDecorationEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,AbstractMinecartEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,ArmorStandEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,FormCaravanGoalMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,IronGolemWanderAroundGoalMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.replace_entitytype_predicates,ItemFrameEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.entity.sprinting_particles,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.block_support,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.block_support,EntityMixin,Deficient Encapsulation
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.block_support,EntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.block_touching,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.fire_lava_touching,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.fire_lava_touching,EntityMixin,Deficient Encapsulation
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.fire_lava_touching,EntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.fluid_pushing,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.fluid_pushing,EntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.suffocation,EntityMixin,Imperative Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.suffocation,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.suffocation,EntityMixin,Deficient Encapsulation
java,me.jellysquid.mods.lithium.mixin.experimental.entity.block_caching.suffocation,EntityMixin,Broken Hierarchy
java,me.jellysquid.mods.lithium.mixin.experimental.spawning,EntityTrackingSectionAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.spawning,SectionedEntityCacheMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.spawning,ServerChunkManagerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.spawning,ServerEntityManagerAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.experimental.spawning,ServerWorldAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.gen.cached_generator_settings,NoiseChunkGeneratorMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin,LithiumMixinPlugin,Unutilized Abstraction
